,Program Adı,Alt Program Adı,Faaliyet Adı,Kurum/Birim,Alt Faaliyet Adı,Finansman,Ekonomik,Tertip,İşlemler,2022,2023,2024,2021 YSHT,2022 Tavan Üstü,2021 KBÖ
,SPORUN GELİŞTİRİLMESİ VE DESTEKLENMESİ,SPORUN VE SPORCULARIN DESTEKLENMESİ,"Sporcu, Çalıştırıcı, Kulüp ve Federasyonların Desteklenmesi",MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Amatör Sporun Desteklenmesi İçin Verilen Paylar,Genel Bütçeli İdareler,Amatör Sporun Desteklenmesi İçin Verilen Paylar,34.90.240.17434-0012.0032-01-05.08.90.07,,"25,000,000.00","25,000,000.00","25,000,000.00",0.00,0.00,0.00
-> Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,,,,,,,,,,0.00,0.00,"4,890,000.00",0.00,0.00,"2,922,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,Genel Bütçeli İdareler,Temel Maaşlar,38.179.828.9570-0012.0031-01-01.01.10.01,,"1,873,000.00","2,171,000.00","2,419,000.00",0.00,0.00,"1,389,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,Genel Bütçeli İdareler,Taban Aylığı,38.179.828.9570-0012.0031-01-01.01.10.02,,"205,000.00","238,000.00","265,000.00",0.00,0.00,0.00
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,Genel Bütçeli İdareler,Zamlar ve Tazminatlar,38.179.828.9570-0012.0031-01-01.01.20.01,,"913,000.00","1,059,000.00","1,180,000.00",0.00,0.00,"766,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,Genel Bütçeli İdareler,Ödenekler,38.179.828.9570-0012.0031-01-01.01.30.01,,"1,000.00","1,000.00","1,000.00",0.00,0.00,"1,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,Genel Bütçeli İdareler,Sosyal Haklar,38.179.828.9570-0012.0031-01-01.01.40.01,,"25,000.00","29,000.00","32,000.00",0.00,0.00,"21,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,Genel Bütçeli İdareler,Ek Çalışma Karşılıkları,38.179.828.9570-0012.0031-01-01.01.50.01,,"2,000.00","2,000.00","2,000.00",0.00,0.00,"2,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,Genel Bütçeli İdareler,Sosyal Güvenlik Primi Ödemeleri,38.179.828.9570-0012.0031-01-02.01.10.01,,"250,000.00","290,000.00","323,000.00",0.00,0.00,"207,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,Genel Bütçeli İdareler,Sağlık Primi Ödemeleri,38.179.828.9570-0012.0031-01-02.01.10.02,,"156,000.00","181,000.00","202,000.00",0.00,0.00,"128,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,Genel Bütçeli İdareler,Kırtasiye Alımları,38.179.828.9570-0012.0031-01-03.02.10.01,,"10,000.00","11,000.00","12,000.00",0.00,0.00,"14,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,Genel Bütçeli İdareler,Büro  Malzemesi Alımları,38.179.828.9570-0012.0031-01-03.02.10.02,,"1,000.00","1,000.00","1,000.00",0.00,0.00,"1,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,Genel Bütçeli İdareler,Diğer Yayın Alımları,38.179.828.9570-0012.0031-01-03.02.10.04,,"3,000.00","3,000.00","3,000.00",0.00,0.00,"3,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,Genel Bütçeli İdareler,Baskı ve Cilt Giderleri,38.179.828.9570-0012.0031-01-03.02.10.05,,"20,000.00","22,000.00","24,000.00",0.00,0.00,"25,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,Genel Bütçeli İdareler,Diğer Tüketim Mal ve Malzemesi Alımları,38.179.828.9570-0012.0031-01-03.02.90.90,,"3,000.00","3,000.00","3,000.00",0.00,0.00,"5,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,Genel Bütçeli İdareler,Yurtiçi Geçici Görev Yollukları,38.179.828.9570-0012.0031-01-03.03.10.01,,"40,000.00","44,000.00","47,000.00",0.00,0.00,"39,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,Genel Bütçeli İdareler,Yurtdışı Geçici Görev Yollukları,38.179.828.9570-0012.0031-01-03.03.10.03,,"35,000.00","38,000.00","41,000.00",0.00,0.00,"33,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,Genel Bütçeli İdareler,Yurtiçi Sürekli Görev Yollukları,38.179.828.9570-0012.0031-01-03.03.20.01,,"3,000.00","3,000.00","3,000.00",0.00,0.00,"7,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,Genel Bütçeli İdareler,Posta ve Telgraf Giderleri,38.179.828.9570-0012.0031-01-03.05.20.01,,"3,000.00","3,000.00","3,000.00",0.00,0.00,"8,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,Genel Bütçeli İdareler,Kurslara Katılma ve Eğitim Giderleri,38.179.828.9570-0012.0031-01-03.05.90.03,,"4,000.00","4,000.00","4,000.00",0.00,0.00,"7,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,Genel Bütçeli İdareler,Sınıflandırmaya Girmeyen Diğer Hizmet Alımları,38.179.828.9570-0012.0031-01-03.05.90.90,,"6,000.00","7,000.00","8,000.00",0.00,0.00,"4,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,Genel Bütçeli İdareler,"Temsil, Tanıtma ve Ağırlama Giderleri",38.179.828.9570-0012.0031-01-03.06.10.01,,"10,000.00","11,000.00","12,000.00",0.00,0.00,"10,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,Genel Bütçeli İdareler,Büro ve İşyeri Mal ve Malzeme Alımları,38.179.828.9570-0012.0031-01-03.07.10.01,,"3,000.00","3,000.00","3,000.00",0.00,0.00,"12,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,Genel Bütçeli İdareler,Büro ve İşyeri Makine ve Techizat Alımları,38.179.828.9570-0012.0031-01-03.07.10.02,,"3,000.00","3,000.00","3,000.00",0.00,0.00,"13,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,Genel Bütçeli İdareler,Makine Teçhizat Bakım ve Onarım Giderleri,38.179.828.9570-0012.0031-01-03.07.30.02,,"5,000.00","5,000.00","5,000.00",0.00,0.00,"7,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,Genel Bütçeli İdareler,Mesleki Yeterlilik Kurumuna Yapılacak Ödemeler,38.179.828.9570-0012.0031-01-05.03.10.10,,"15,000.00","16,000.00","17,000.00",0.00,0.00,"15,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Mali Değişim ve Dönüşüme Yönelik Politika Geliştirilmesi,Genel Bütçeli İdareler,Uluslararası Kuruluşlara Katkı Ödemeleri,38.179.828.9570-0012.0031-01-05.06.20.02,,"248,000.00","264,000.00","277,000.00",0.00,0.00,"205,000.00"
"-> Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",,,,,,,,,,0.00,0.00,"13,740,000.00",0.00,0.00,"7,946,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",Genel Bütçeli İdareler,Temel Maaşlar,38.179.537.9571-0012.0031-01-01.01.10.01,,"5,622,000.00","6,517,000.00","7,261,000.00",0.00,0.00,"4,168,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",Genel Bütçeli İdareler,Taban Aylığı,38.179.537.9571-0012.0031-01-01.01.10.02,,"615,000.00","713,000.00","794,000.00",0.00,0.00,0.00
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",Genel Bütçeli İdareler,Zamlar ve Tazminatlar,38.179.537.9571-0012.0031-01-01.01.20.01,,"2,737,000.00","3,175,000.00","3,539,000.00",0.00,0.00,"2,296,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",Genel Bütçeli İdareler,Ödenekler,38.179.537.9571-0012.0031-01-01.01.30.01,,"3,000.00","4,000.00","5,000.00",0.00,0.00,"1,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",Genel Bütçeli İdareler,Sosyal Haklar,38.179.537.9571-0012.0031-01-01.01.40.01,,"74,000.00","86,000.00","96,000.00",0.00,0.00,"60,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",Genel Bütçeli İdareler,Ek Çalışma Karşılıkları,38.179.537.9571-0012.0031-01-01.01.50.01,,"3,000.00","3,000.00","3,000.00",0.00,0.00,"2,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",Genel Bütçeli İdareler,Sosyal Güvenlik Primi Ödemeleri,38.179.537.9571-0012.0031-01-02.01.10.01,,"752,000.00","872,000.00","972,000.00",0.00,0.00,"621,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",Genel Bütçeli İdareler,Sağlık Primi Ödemeleri,38.179.537.9571-0012.0031-01-02.01.10.02,,"466,000.00","541,000.00","603,000.00",0.00,0.00,"385,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",Genel Bütçeli İdareler,Kırtasiye Alımları,38.179.537.9571-0012.0031-01-03.02.10.01,,"25,000.00","27,000.00","29,000.00",0.00,0.00,"18,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",Genel Bütçeli İdareler,Büro  Malzemesi Alımları,38.179.537.9571-0012.0031-01-03.02.10.02,,"3,000.00","3,000.00","3,000.00",0.00,0.00,"3,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",Genel Bütçeli İdareler,Diğer Yayın Alımları,38.179.537.9571-0012.0031-01-03.02.10.04,,"8,000.00","9,000.00","10,000.00",0.00,0.00,"8,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",Genel Bütçeli İdareler,Baskı ve Cilt Giderleri,38.179.537.9571-0012.0031-01-03.02.10.05,,"40,000.00","44,000.00","47,000.00",0.00,0.00,"43,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",Genel Bütçeli İdareler,Diğer Tüketim Mal ve Malzemesi Alımları,38.179.537.9571-0012.0031-01-03.02.90.90,,"7,000.00","8,000.00","9,000.00",0.00,0.00,"7,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",Genel Bütçeli İdareler,Yurtiçi Geçici Görev Yollukları,38.179.537.9571-0012.0031-01-03.03.10.01,,"120,000.00","131,000.00","141,000.00",0.00,0.00,"119,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",Genel Bütçeli İdareler,Yurtdışı Geçici Görev Yollukları,38.179.537.9571-0012.0031-01-03.03.10.03,,"106,000.00","115,000.00","124,000.00",0.00,0.00,"101,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",Genel Bütçeli İdareler,Yurtiçi Sürekli Görev Yollukları,38.179.537.9571-0012.0031-01-03.03.20.01,,"9,000.00","10,000.00","11,000.00",0.00,0.00,"5,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",Genel Bütçeli İdareler,Posta ve Telgraf Giderleri,38.179.537.9571-0012.0031-01-03.05.20.01,,"8,000.00","9,000.00","10,000.00",0.00,0.00,"6,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",Genel Bütçeli İdareler,Kurslara Katılma ve Eğitim Giderleri,38.179.537.9571-0012.0031-01-03.05.90.03,,"11,000.00","12,000.00","13,000.00",0.00,0.00,"10,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",Genel Bütçeli İdareler,Sınıflandırmaya Girmeyen Diğer Hizmet Alımları,38.179.537.9571-0012.0031-01-03.05.90.90,,"17,000.00","18,000.00","19,000.00",0.00,0.00,"33,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",Genel Bütçeli İdareler,"Temsil, Tanıtma ve Ağırlama Giderleri",38.179.537.9571-0012.0031-01-03.06.10.01,,"15,000.00","16,000.00","17,000.00",0.00,0.00,"27,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",Genel Bütçeli İdareler,Büro ve İşyeri Mal ve Malzeme Alımları,38.179.537.9571-0012.0031-01-03.07.10.01,,"7,000.00","8,000.00","9,000.00",0.00,0.00,"7,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,BÜTÇE YÖNETİMİ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,"Merkezi Yönetim Bütçesinin Hazırlanması, Uygulanması ve Kamu Bütçe Süreçlerinin Geliştirilmesi",Genel Bütçeli İdareler,Büro ve İşyeri Makine ve Techizat Alımları,38.179.537.9571-0012.0031-01-03.07.10.02,,"7,000.00","8,000.00","9,000.00",0.00,0.00,"13,000.00"
